,min,max,shape,spacing
433_433_0_brain_t1c.nii.gz,0.0,3601.901123046875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
427_427_0_brain_t1c.nii.gz,0.0,3601.901123046875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
192_192_0_brain_t1c.nii.gz,0.0,3618.019775390625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
76_76_0_brain_t1c.nii.gz,0.0,3619.598876953125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
202_202_0_brain_t1c.nii.gz,0.0,3633.7939453125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
99_99_0_brain_t1c.nii.gz,0.0,3648.253662109375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
199_199_0_brain_t1c.nii.gz,0.0,3670.51171875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
226_226_0_brain_t1c.nii.gz,0.0,3676.87548828125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
96_96_0_brain_t1c.nii.gz,0.0,3676.911865234375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
16_16_0_brain_t1c.nii.gz,0.0,3680.6376953125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
31_31_0_brain_t1c.nii.gz,0.0,3682.097412109375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
366_366_0_brain_t1c.nii.gz,0.0,3687.377197265625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
434_434_0_brain_t1c.nii.gz,0.0,3697.91455078125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
201_201_0_brain_t1c.nii.gz,0.0,3742.183837890625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
82_82_0_brain_t1c.nii.gz,0.0,3743.8583984375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
217_217_0_brain_t1c.nii.gz,0.0,3758.85693359375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
227_227_0_brain_t1c.nii.gz,0.0,3797.13623046875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
68_68_0_brain_t1c.nii.gz,0.0,3811.913818359375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
73_73_0_brain_t1c.nii.gz,0.0,3814.41796875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
56_56_0_brain_t1c.nii.gz,0.0,3851.28271484375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
103_103_0_brain_t1c.nii.gz,0.0,3854.606201171875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
193_193_0_brain_t1c.nii.gz,0.0,3858.64892578125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
77_77_0_brain_t1c.nii.gz,0.0,3860.410888671875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
128_128_0_brain_t1c.nii.gz,0.0,3861.03515625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
139_139_0_brain_t1c.nii.gz,0.0,3870.5576171875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
137_137_0_brain_t1c.nii.gz,0.0,3880.74609375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
85_85_0_brain_t1c.nii.gz,0.0,3881.350830078125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
38_38_0_brain_t1c.nii.gz,0.0,3911.810302734375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
81_81_0_brain_t1c.nii.gz,0.0,3935.385009765625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
214_214_0_brain_t1c.nii.gz,0.0,4006.03271484375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
91_91_0_brain_t1c.nii.gz,0.0,4051.414794921875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
43_43_0_brain_t1c.nii.gz,0.0,4062.514404296875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
368_368_0_brain_t1c.nii.gz,0.0,4078.280517578125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
60_60_0_brain_t1c.nii.gz,0.0,4139.74462890625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
370_370_0_brain_t1c.nii.gz,0.0,4146.708984375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
