,min,max,shape,spacing
429_429_0_brain_t2f.nii.gz,0.0,1851.3167724609375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
16_16_0_brain_t2f.nii.gz,0.0,1872.262939453125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
60_60_0_brain_t2f.nii.gz,0.0,1876.4169921875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
436_436_0_brain_t2f.nii.gz,0.0,1888.4302978515625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
367_367_0_brain_t2f.nii.gz,0.0,1958.6883544921875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
35_35_0_brain_t2f.nii.gz,0.0,1963.6962890625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
116_116_0_brain_t2f.nii.gz,0.0,1970.44775390625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
423_423_0_brain_t2f.nii.gz,0.0,1996.9969482421875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
394_394_0_brain_t2f.nii.gz,0.0,2022.59912109375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
396_396_0_brain_t2f.nii.gz,0.0,2054.508544921875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
24_24_0_brain_t2f.nii.gz,0.0,2063.318115234375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
370_370_0_brain_t2f.nii.gz,0.0,2109.158447265625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
208_208_0_brain_t2f.nii.gz,0.0,2171.589599609375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
400_400_0_brain_t2f.nii.gz,0.0,2371.853515625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
416_416_0_brain_t2f.nii.gz,0.0,2387.132568359375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
405_405_0_brain_t2f.nii.gz,0.0,2499.23828125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
225_225_0_brain_t2f.nii.gz,0.0,2529.625244140625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
366_366_0_brain_t2f.nii.gz,0.0,2552.536865234375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
409_409_0_brain_t2f.nii.gz,0.0,2586.3447265625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
134_134_0_brain_t2f.nii.gz,0.0,2683.95458984375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
433_433_0_brain_t2f.nii.gz,0.0,2693.22119140625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
427_427_0_brain_t2f.nii.gz,0.0,2693.22119140625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
384_384_0_brain_t2f.nii.gz,0.0,2943.760986328125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
414_414_0_brain_t2f.nii.gz,0.0,3069.568359375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
421_421_0_brain_t2f.nii.gz,0.0,3103.949462890625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
428_428_0_brain_t2f.nii.gz,0.0,3452.274658203125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
360_360_0_brain_t2f.nii.gz,0.0,3911.4091796875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
376_376_0_brain_t2f.nii.gz,0.0,4136.38525390625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
373_373_0_brain_t2f.nii.gz,0.0,4885.63818359375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
