,min,max,shape,spacing
60_60_0_brain_t2w.nii.gz,0.0,3911.572021484375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
204_204_0_brain_t2w.nii.gz,0.0,3960.26171875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
137_137_0_brain_t2w.nii.gz,0.0,3970.818115234375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
73_73_0_brain_t2w.nii.gz,0.0,4006.4521484375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
139_139_0_brain_t2w.nii.gz,0.0,4041.36181640625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
216_216_0_brain_t2w.nii.gz,0.0,4063.404052734375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
92_92_0_brain_t2w.nii.gz,0.0,4067.044921875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
128_128_0_brain_t2w.nii.gz,0.0,4103.62353515625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
75_75_0_brain_t2w.nii.gz,0.0,4104.2841796875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
370_370_0_brain_t2w.nii.gz,0.0,4113.501953125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
208_208_0_brain_t2w.nii.gz,0.0,4126.60888671875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
428_428_0_brain_t2w.nii.gz,0.0,4129.58251953125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
77_77_0_brain_t2w.nii.gz,0.0,4147.3427734375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
210_210_0_brain_t2w.nii.gz,0.0,4149.5,"(240, 240, 155)","(1.0, 1.0, 1.0)"
395_395_0_brain_t2w.nii.gz,0.0,4182.05029296875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
215_215_0_brain_t2w.nii.gz,0.0,4197.86181640625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
91_91_0_brain_t2w.nii.gz,0.0,4202.09326171875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
224_224_0_brain_t2w.nii.gz,0.0,4261.51953125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
374_374_0_brain_t2w.nii.gz,0.0,4280.765625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
114_114_0_brain_t2w.nii.gz,0.0,4309.29638671875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
228_228_0_brain_t2w.nii.gz,0.0,4313.0,"(240, 240, 155)","(1.0, 1.0, 1.0)"
115_115_0_brain_t2w.nii.gz,0.0,4403.93896484375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
129_129_0_brain_t2w.nii.gz,0.0,4540.455078125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
372_372_0_brain_t2w.nii.gz,0.0,4576.17724609375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
360_360_0_brain_t2w.nii.gz,0.0,5032.66162109375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
420_420_0_brain_t2w.nii.gz,0.0,5357.2314453125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
376_376_0_brain_t2w.nii.gz,0.0,5532.59521484375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
373_373_0_brain_t2w.nii.gz,0.0,8585.7998046875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
